source,target,type,value
12000,47900,Tier2/1-4Hours,10
12000,48000,Tier2/1-4Hours,10
12000,48100,Tier2/1-4Hours,10
12000,48200,Tier2/1-4Hours,10
12000,48300,Tier2/1-4Hours,10
12000,48400,Tier2/1-4Hours,10
12000,48500,Tier2/1-4Hours,10
12000,48600,Tier2/1-4Hours,10
12000,48700,Tier2/1-4Hours,10
12000,48800,Tier2/1-4Hours,10
12000,48900,Tier2/1-4Hours,10
12000,49000,Tier2/1-4Hours,10
12000,49100,Tier2/1-4Hours,10
12000,49200,Tier2/1-4Hours,10
12000,49300,Tier2/1-4Hours,10
12000,49400,Tier2/1-4Hours,10
12000,49500,Tier2/1-4Hours,10
12000,49600,Tier2/1-4Hours,10
12000,49700,Tier2/1-4Hours,10
12000,49800,Tier2/1-4Hours,10
12000,49900,Tier2/1-4Hours,10
12000,50000,Tier2/1-4Hours,10
12000,50100,Tier2/1-4Hours,10
12000,50200,Tier2/1-4Hours,10
12000,50300,Tier2/1-4Hours,10
12000,50400,Tier2/1-4Hours,10
12000,50500,Tier2/1-4Hours,10
12000,50600,Tier2/1-4Hours,10
12000,50700,Tier2/1-4Hours,10
12000,50700,Tier2/1-4Hours,10
12000,50700,Tier2/1-4Hours,10
12000,50800,Tier2/1-4Hours,10
12000,50900,Tier2/1-4Hours,10
12000,51000,Tier2/1-4Hours,10
12000,51100,Tier2/1-4Hours,10
12000,51200,Tier2/1-4Hours,10
12000,51300,Tier2/1-4Hours,10
12000,51400,Tier2/1-4Hours,10
12000,51500,Tier2/1-4Hours,10
12000,51600,Tier2/1-4Hours,10
12000,51700,Tier2/1-4Hours,10
12000,51800,Tier2/1-4Hours,10
12000,51900,Tier2/1-4Hours,10
12000,52000,Tier2/1-4Hours,10
12000,52100,Tier2/1-4Hours,10
12000,52200,Tier2/1-4Hours,10
12000,52300,Tier2/1-4Hours,10
12000,52400,Tier2/1-4Hours,10
12000,52500,Tier2/1-4Hours,10
12000,52600,Tier2/1-4Hours,10
12000,52700,Tier2/1-4Hours,10
12000,52800,Tier2/1-4Hours,10
12000,52900,Tier2/1-4Hours,10
12000,53000,Tier2/1-4Hours,10
12000,53100,Tier2/1-4Hours,10
12000,53100,Tier2/1-4Hours,10
12000,53200,Tier2/1-4Hours,10
12000,53300,Tier2/1-4Hours,10
12000,53400,Tier2/1-4Hours,10
12000,53500,Tier2/1-4Hours,10
12000,53600,Tier2/1-4Hours,10
12000,53700,Tier2/1-4Hours,10
12000,53800,Tier2/1-4Hours,10
12000,53800,Tier2/1-4Hours,10
12000,53900,Tier2/1-4Hours,10
12000,53900,Tier2/1-4Hours,10
12000,54000,Tier2/1-4Hours,10
12000,54000,Tier2/1-4Hours,10
12000,54000,Tier2/1-4Hours,10
12000,54100,Tier2/1-4Hours,10
12000,54200,Tier2/1-4Hours,10
12000,54200,Tier2/1-4Hours,10
12000,54300,Tier2/1-4Hours,10
12000,54400,Tier2/1-4Hours,10
12000,54500,Tier2/1-4Hours,10
12000,54600,Tier2/1-4Hours,10
12000,54700,Tier2/1-4Hours,10
12000,54800,Tier2/1-4Hours,10
12000,54800,Tier2/1-4Hours,10
12000,54800,Tier2/1-4Hours,10
12000,54800,Tier2/1-4Hours,10
12000,54800,Tier2/1-4Hours,10
12000,54800,Tier2/1-4Hours,10
12000,54800,Tier2/1-4Hours,10
12000,54800,Tier2/1-4Hours,10
12000,54800,Tier2/1-4Hours,10
12000,54800,Tier2/1-4Hours,10
12000,54800,Tier2/1-4Hours,10
12000,54800,Tier2/1-4Hours,10
12000,54900,Tier2/1-4Hours,10
12000,55000,Tier2/1-4Hours,10
12000,55000,Tier2/1-4Hours,10
12000,55000,Tier2/1-4Hours,10
12000,55000,Tier2/1-4Hours,10
12000,55100,Tier2/1-4Hours,10
12000,55100,Tier2/1-4Hours,10
12000,55200,Tier2/1-4Hours,10
12000,55300,Tier2/1-4Hours,10
12000,55400,Tier2/1-4Hours,10
12000,55400,Tier2/1-4Hours,10
12000,55500,Tier2/1-4Hours,10
12000,55600,Tier2/1-4Hours,10
12000,55700,Tier2/1-4Hours,10
12000,55800,Tier2/1-4Hours,10
12000,55900,Tier2/1-4Hours,10
12000,55900,Tier2/1-4Hours,10
12000,55900,Tier2/1-4Hours,10
12000,56000,Tier2/1-4Hours,10
12000,56100,Tier2/1-4Hours,10
12000,56200,Tier2/1-4Hours,10
12000,56200,Tier2/1-4Hours,10
12000,56300,Tier2/1-4Hours,10
12000,56400,Tier2/1-4Hours,10
12000,56500,Tier2/1-4Hours,10
12000,56600,Tier2/1-4Hours,10
12000,56700,Tier2/1-4Hours,10
12000,56800,Tier2/1-4Hours,10
12000,56900,Tier2/1-4Hours,10
12000,57000,Tier2/1-4Hours,10
12000,57100,Tier2/1-4Hours,10
12000,57200,Tier2/1-4Hours,10
12000,57300,Tier2/1-4Hours,10
12000,57400,Tier2/1-4Hours,10
12000,57500,Tier2/1-4Hours,10
12000,57500,Tier2/1-4Hours,10
12000,57500,Tier2/1-4Hours,10
12000,57600,Tier2/1-4Hours,10
12000,57700,Tier2/1-4Hours,10
12000,57800,Tier2/1-4Hours,10
12000,57900,Tier2/1-4Hours,10
12000,58000,Tier2/1-4Hours,10
12000,58100,Tier2/1-4Hours,10
12000,58100,Tier2/1-4Hours,10
12000,58200,Tier2/1-4Hours,10
12000,58300,Tier2/1-4Hours,10
12000,58300,Tier2/1-4Hours,10
12000,58400,Tier2/1-4Hours,10
12000,58500,Tier2/1-4Hours,10
12000,58600,Tier2/1-4Hours,10
12000,58700,Tier2/1-4Hours,10
12000,58800,Tier2/1-4Hours,10
12000,58900,Tier2/1-4Hours,10
12000,58900,Tier2/1-4Hours,10
12000,59000,Tier2/1-4Hours,10
12000,59100,Tier2/1-4Hours,10
12000,59200,Tier2/1-4Hours,10
12000,59300,Tier2/1-4Hours,10
12000,59400,Tier2/1-4Hours,10
12000,59500,Tier2/1-4Hours,10
12000,59600,Tier2/1-4Hours,10
12000,59700,Tier2/1-4Hours,10
12000,59800,Tier2/1-4Hours,10
12000,59900,Tier2/1-4Hours,10
12000,60000,Tier2/1-4Hours,10
12000,60000,Tier2/1-4Hours,10
12000,60000,Tier2/1-4Hours,10
12000,60100,Tier2/1-4Hours,10
12000,60200,Tier2/1-4Hours,10
12000,60200,Tier2/1-4Hours,10
12000,60300,Tier2/1-4Hours,10
12000,60400,Tier2/1-4Hours,10
12000,60500,Tier2/1-4Hours,10
12000,60600,Tier2/1-4Hours,10
12000,60700,Tier2/1-4Hours,10
12000,60800,Tier2/1-4Hours,10
12000,60900,Tier2/1-4Hours,10
12000,61000,Tier2/1-4Hours,10
12000,61100,Tier2/1-4Hours,10
12000,61200,Tier2/1-4Hours,10
12000,61300,Tier2/1-4Hours,10
12000,61400,Tier2/1-4Hours,10
12000,61500,Tier2/1-4Hours,10
12000,61600,Tier2/1-4Hours,10
12000,61700,Tier2/1-4Hours,10
12000,61800,Tier2/1-4Hours,10
12000,61900,Tier2/1-4Hours,10
12000,61900,Tier2/1-4Hours,10
12000,62000,Tier2/1-4Hours,10
12000,62100,Tier2/1-4Hours,10
12000,62100,Tier2/1-4Hours,10
12000,62200,Tier2/1-4Hours,10
12000,62300,Tier2/1-4Hours,10
12000,62300,Tier2/1-4Hours,10
12000,62400,Tier2/1-4Hours,10
12000,62400,Tier2/1-4Hours,10
12000,62400,Tier2/1-4Hours,10
12000,62500,Tier2/1-4Hours,10
12000,62500,Tier2/1-4Hours,10
12000,62600,Tier2/1-4Hours,10
12000,62700,Tier2/1-4Hours,10
12000,62800,Tier2/1-4Hours,10
12000,62800,Tier2/1-4Hours,10
12000,62800,Tier2/1-4Hours,10
12000,62900,Tier2/1-4Hours,10
12000,63000,Tier2/1-4Hours,10
12000,63100,Tier2/1-4Hours,10
12000,63100,Tier2/1-4Hours,10
12000,63200,Tier2/1-4Hours,10
12000,63300,Tier2/1-4Hours,10
12000,63400,Tier2/1-4Hours,10
12000,63400,Tier2/1-4Hours,10
12000,63500,Tier2/1-4Hours,10
12000,63600,Tier2/1-4Hours,10
12000,63700,Tier2/1-4Hours,10
12000,63700,Tier2/1-4Hours,10
12000,63700,Tier2/1-4Hours,10
12000,63700,Tier2/1-4Hours,10
12000,63800,Tier2/1-4Hours,10
12000,63800,Tier2/1-4Hours,10
12000,63900,Tier2/1-4Hours,10
12000,64000,Tier2/1-4Hours,10
12000,64100,Tier2/1-4Hours,10
12000,64100,Tier2/1-4Hours,10
12000,64100,Tier2/1-4Hours,10
12000,64200,Tier2/1-4Hours,10
12000,64300,Tier2/1-4Hours,10
12000,64400,Tier2/1-4Hours,10
12000,64400,Tier2/1-4Hours,10
12000,64500,Tier2/1-4Hours,10
12000,64600,Tier2/1-4Hours,10
12000,64700,Tier2/1-4Hours,10
12000,64800,Tier2/1-4Hours,10
12000,64800,Tier2/1-4Hours,10
12000,64900,Tier2/1-4Hours,10
12000,65000,Tier2/1-4Hours,10
12000,65100,Tier2/1-4Hours,10
12000,65200,Tier2/1-4Hours,10
12000,65300,Tier2/1-4Hours,10
12000,65400,Tier2/1-4Hours,10
12000,65500,Tier2/1-4Hours,10
12000,65600,Tier2/1-4Hours,10
12000,65700,Tier2/1-4Hours,10
12000,65800,Tier2/1-4Hours,10
12000,65900,Tier2/1-4Hours,10
12000,66000,Tier2/1-4Hours,10
12000,66100,Tier2/1-4Hours,10
12000,66200,Tier2/1-4Hours,10
12000,66200,Tier2/1-4Hours,10
12000,66300,Tier2/1-4Hours,10
12000,66400,Tier2/1-4Hours,10
12000,66500,Tier2/1-4Hours,10
12000,66600,Tier2/1-4Hours,10
